,,,Images/classified,367/318
workspace/training_demo/merged_images/test\04957.jpg,No entry,No entry,0.7091177,True
workspace/training_demo/merged_images/test\05017.jpg,No entry,No entry,0.78891665,True
workspace/training_demo/merged_images/test\05045.jpg,No entry,No entry,0.70742375,True
workspace/training_demo/merged_images/test\05131.jpg,No entry,No entry,0.6166084,True
workspace/training_demo/merged_images/test\05166.jpg,No entry,No entry,0.66835093,True
workspace/training_demo/merged_images/test\05193.jpg,No entry,Keep right,0.3867983,False
workspace/training_demo/merged_images/test\05217.jpg,No entry,Keep right,0.58801275,False
workspace/training_demo/merged_images/test\05284.jpg,No entry,Keep right,0.40105286,False
workspace/training_demo/merged_images/test\05304.jpg,No entry,No entry,0.38040996,True
workspace/training_demo/merged_images/test\05357.jpg,No entry,Keep right,0.41930112,False
workspace/training_demo/merged_images/test\05389.jpg,No entry,No entry,0.74807256,True
workspace/training_demo/merged_images/test\05500.jpg,No entry,No entry,0.76307094,True
workspace/training_demo/merged_images/test\05517.jpg,No entry,No entry,0.7788823,True
workspace/training_demo/merged_images/test\05532.jpg,No entry,No entry,0.6458599,True
workspace/training_demo/merged_images/test\05549.jpg,No entry,No entry,0.86485726,True
workspace/training_demo/merged_images/test\05584.jpg,No entry,No entry,0.63786215,True
workspace/training_demo/merged_images/test\05605.jpg,No entry,No entry,0.82334745,True
workspace/training_demo/merged_images/test\05607.jpg,No entry,No entry,0.54337376,True
workspace/training_demo/merged_images/test\05615.jpg,No entry,No entry,0.74182653,True
workspace/training_demo/merged_images/test\05635.jpg,No entry,No entry,0.44082654,True
workspace/training_demo/merged_images/test\05656.jpg,No entry,No entry,0.60710806,True
workspace/training_demo/merged_images/test\05682.jpg,No entry,No entry,0.55625707,True
workspace/training_demo/merged_images/test\05694.jpg,No entry,No entry,0.60206914,True
workspace/training_demo/merged_images/test\05706.jpg,No entry,No entry,0.5840894,True
workspace/training_demo/merged_images/test\05931.jpg,No entry,No entry,0.55576295,True
workspace/training_demo/merged_images/test\05986.jpg,No entry,No entry,0.62239444,True
workspace/training_demo/merged_images/test\05990.jpg,No entry,No entry,0.8551565,True
workspace/training_demo/merged_images/test\06084.jpg,No entry,No entry,0.7424128,True
workspace/training_demo/merged_images/test\06123.jpg,No entry,Speed limit (80km/h),0.38364276,False
workspace/training_demo/merged_images/test\06133.jpg,No entry,No entry,0.5023485,True
workspace/training_demo/merged_images/test\06138.jpg,No entry,Priority road,0.3736596,False
workspace/training_demo/merged_images/test\06154.jpg,No entry,No entry,0.73326445,True
workspace/training_demo/merged_images/test\06186.jpg,No entry,No entry,0.43151763,True
workspace/training_demo/merged_images/test\06188.jpg,No entry,No entry,0.6253104,True
workspace/training_demo/merged_images/test\06198.jpg,No entry,No entry,0.6562919,True
workspace/training_demo/merged_images/test\06251.jpg,No entry,No entry,0.5850176,True
workspace/training_demo/merged_images/test\06317.jpg,No entry,No entry,0.63025296,True
workspace/training_demo/merged_images/test\06355.jpg,No entry,No entry,0.5622413,True
workspace/training_demo/merged_images/test\06371.jpg,No entry,No entry,0.60785556,True
workspace/training_demo/merged_images/test\06406.jpg,No entry,No entry,0.65980595,True
workspace/training_demo/merged_images/test\06426.jpg,No entry,No entry,0.6774336,True
workspace/training_demo/merged_images/test\06447.jpg,No entry,Keep right,0.4283742,False
workspace/training_demo/merged_images/test\06479.jpg,No entry,No entry,0.7520689,True
workspace/training_demo/merged_images/test\06507.jpg,No entry,No entry,0.7669178,True
workspace/training_demo/merged_images/test\06542.jpg,No entry,No entry,0.7458453,True
workspace/training_demo/merged_images/test\06561.jpg,No entry,No entry,0.71953654,True
workspace/training_demo/merged_images/test\06589.jpg,No entry,No entry,0.5921822,True
workspace/training_demo/merged_images/test\06694.jpg,No entry,No entry,0.76919156,True
workspace/training_demo/merged_images/test\06714.jpg,No entry,No entry,0.6467945,True
workspace/training_demo/merged_images/test\06801.jpg,No entry,No entry,0.698285,True
workspace/training_demo/merged_images/test\06818.jpg,No entry,No entry,0.8082094,True
workspace/training_demo/merged_images/test\06843.jpg,No entry,No entry,0.4557554,True
workspace/training_demo/merged_images/test\06848.jpg,No entry,Keep right,0.3954228,False
workspace/training_demo/merged_images/test\06861.jpg,No entry,No entry,0.5636117,True
workspace/training_demo/merged_images/test\06865.jpg,No entry,No entry,0.6352254,True
workspace/training_demo/merged_images/test\06870.jpg,No entry,No entry,0.43426,True
workspace/training_demo/merged_images/test\06922.jpg,No entry,No entry,0.3686326,True
workspace/training_demo/merged_images/test\06952.jpg,No entry,No entry,0.5444303,True
workspace/training_demo/merged_images/test\06960.jpg,No entry,Wild animals crossing,0.4162267,False
workspace/training_demo/merged_images/test\06987.jpg,No entry,No entry,0.76261306,True
workspace/training_demo/merged_images/test\07007.jpg,No entry,No entry,0.8455489,True
workspace/training_demo/merged_images/test\07026.jpg,No entry,No entry,0.66628665,True
workspace/training_demo/merged_images/test\07116.jpg,No entry,No entry,0.6367378,True
workspace/training_demo/merged_images/test\07126.jpg,No entry,No entry,0.6335203,True
workspace/training_demo/merged_images/test\07158.jpg,No entry,No entry,0.7140528,True
workspace/training_demo/merged_images/test\07170.jpg,No entry,No entry,0.82239497,True
workspace/training_demo/merged_images/test\07177.jpg,No entry,No entry,0.8422469,True
workspace/training_demo/merged_images/test\07192.jpg,No entry,No entry,0.7755017,True
workspace/training_demo/merged_images/test\07206.jpg,No entry,No entry,0.55578667,True
workspace/training_demo/merged_images/test\07313.jpg,No entry,No entry,0.58825034,True
workspace/training_demo/merged_images/test\07396.jpg,No entry,Speed limit (80km/h),0.43610474,False
workspace/training_demo/merged_images/test\07409.jpg,No entry,No entry,0.7629106,True
workspace/training_demo/merged_images/test\07416.jpg,No entry,No entry,0.77061164,True
workspace/training_demo/merged_images/test\07432.jpg,No entry,No entry,0.7578032,True
workspace/training_demo/merged_images/test\07542.jpg,No entry,No entry,0.5233171,True
workspace/training_demo/merged_images/test\07562.jpg,No entry,No entry,0.72117364,True
workspace/training_demo/merged_images/test\07603.jpg,No entry,Keep right,0.42003226,False
workspace/training_demo/merged_images/test\07658.jpg,No entry,Keep right,0.42739528,False
workspace/training_demo/merged_images/test\07674.jpg,No entry,Priority road,0.356383,False
workspace/training_demo/merged_images/test\07781.jpg,No entry,No entry,0.57081914,True
workspace/training_demo/merged_images/test\07789.jpg,No entry,No entry,0.85253245,True
workspace/training_demo/merged_images/test\07882.jpg,No entry,No entry,0.7431079,True
workspace/training_demo/merged_images/test\07883.jpg,No entry,No entry,0.65124863,True
workspace/training_demo/merged_images/test\07900.jpg,No entry,No entry,0.55738556,True
workspace/training_demo/merged_images/test\08029.jpg,No entry,No entry,0.7092963,True
workspace/training_demo/merged_images/test\08064.jpg,No entry,No entry,0.58885205,True
workspace/training_demo/merged_images/test\08092.jpg,No entry,No entry,0.62383956,True
workspace/training_demo/merged_images/test\08112.jpg,No entry,No entry,0.66007197,True
workspace/training_demo/merged_images/test\08119.jpg,No entry,No entry,0.73283106,True
workspace/training_demo/merged_images/test\08225.jpg,No entry,No entry,0.58433694,True
workspace/training_demo/merged_images/test\08238.jpg,No entry,No entry,0.34483805,True
workspace/training_demo/merged_images/test\08346.jpg,No entry,No entry,0.82664096,True
workspace/training_demo/merged_images/test\08419.jpg,No entry,No entry,0.5784927,True
workspace/training_demo/merged_images/test\08433.jpg,No entry,No entry,0.67881715,True
workspace/training_demo/merged_images/test\08512.jpg,No entry,No entry,0.8532183,True
workspace/training_demo/merged_images/test\08514.jpg,No entry,No entry,0.8765676,True
workspace/training_demo/merged_images/test\08571.jpg,No entry,No entry,0.7357285,True
workspace/training_demo/merged_images/test\08572.jpg,No entry,No entry,0.8539191,True
workspace/training_demo/merged_images/test\08604.jpg,No entry,Speed limit (80km/h),0.37086514,False
workspace/training_demo/merged_images/test\08635.jpg,No entry,No entry,0.517638,True
workspace/training_demo/merged_images/test\08666.jpg,No entry,No entry,0.6145,True
workspace/training_demo/merged_images/test\08667.jpg,No entry,No entry,0.90881765,True
workspace/training_demo/merged_images/test\08710.jpg,No entry,No entry,0.4112667,True
workspace/training_demo/merged_images/test\08719.jpg,No entry,No entry,0.73363006,True
workspace/training_demo/merged_images/test\08743.jpg,No entry,No entry,0.85680616,True
workspace/training_demo/merged_images/test\08801.jpg,No entry,No entry,0.68730813,True
workspace/training_demo/merged_images/test\08827.jpg,No entry,No entry,0.78284407,True
workspace/training_demo/merged_images/test\08854.jpg,No entry,No entry,0.88592106,True
workspace/training_demo/merged_images/test\08922.jpg,No entry,No entry,0.8029722,True
workspace/training_demo/merged_images/test\08996.jpg,No entry,No entry,0.58929336,True
workspace/training_demo/merged_images/test\09125.jpg,No entry,No entry,0.71211594,True
workspace/training_demo/merged_images/test\09180.jpg,No entry,No entry,0.823616,True
workspace/training_demo/merged_images/test\09227.jpg,No entry,No entry,0.74692976,True
workspace/training_demo/merged_images/test\09318.jpg,No entry,No entry,0.76294565,True
workspace/training_demo/merged_images/test\09342.jpg,No entry,No entry,0.6274316,True
workspace/training_demo/merged_images/test\09441.jpg,No entry,No entry,0.7012873,True
workspace/training_demo/merged_images/test\09476.jpg,No entry,No entry,0.50139904,True
workspace/training_demo/merged_images/test\09501.jpg,No entry,No entry,0.7385177,True
workspace/training_demo/merged_images/test\09520.jpg,No entry,No entry,0.67880446,True
workspace/training_demo/merged_images/test\09588.jpg,No entry,No entry,0.853002,True
workspace/training_demo/merged_images/test\09607.jpg,No entry,No entry,0.63025725,True
workspace/training_demo/merged_images/test\09674.jpg,No entry,No entry,0.6238415,True
workspace/training_demo/merged_images/test\09833.jpg,No entry,No entry,0.67858493,True
workspace/training_demo/merged_images/test\09837.jpg,No entry,No passing,0.42868716,False
workspace/training_demo/merged_images/test\09857.jpg,No entry,No entry,0.8563495,True
workspace/training_demo/merged_images/test\09878.jpg,No entry,No entry,0.68836164,True
workspace/training_demo/merged_images/test\09935.jpg,No entry,No entry,0.42599344,True
workspace/training_demo/merged_images/test\09970.jpg,No entry,No entry,0.706289,True
workspace/training_demo/merged_images/test\09993.jpg,No entry,No passing,0.47661853,False
workspace/training_demo/merged_images/test\10042.jpg,No entry,No entry,0.6372057,True
workspace/training_demo/merged_images/test\10102.jpg,No entry,No entry,0.89399,True
workspace/training_demo/merged_images/test\10149.jpg,No entry,Speed limit (80km/h),0.54770684,False
workspace/training_demo/merged_images/test\10154.jpg,No entry,No entry,0.7710971,True
workspace/training_demo/merged_images/test\10159.jpg,No entry,No entry,0.5712693,True
workspace/training_demo/merged_images/test\10160.jpg,No entry,No entry,0.6858681,True
workspace/training_demo/merged_images/test\10213.jpg,No entry,No entry,0.8489306,True
workspace/training_demo/merged_images/test\10240.jpg,No entry,No entry,0.6951259,True
workspace/training_demo/merged_images/test\10256.jpg,No entry,Speed limit (80km/h),0.5742557,False
workspace/training_demo/merged_images/test\10362.jpg,No entry,Keep right,0.3689905,False
workspace/training_demo/merged_images/test\10371.jpg,No entry,No entry,0.80398244,True
workspace/training_demo/merged_images/test\10375.jpg,No entry,No entry,0.6990709,True
workspace/training_demo/merged_images/test\10391.jpg,No entry,No entry,0.7245893,True
workspace/training_demo/merged_images/test\10392.jpg,No entry,No entry,0.71369815,True
workspace/training_demo/merged_images/test\10410.jpg,No entry,Keep right,0.42887822,False
workspace/training_demo/merged_images/test\10544.jpg,No entry,No entry,0.78742486,True
workspace/training_demo/merged_images/test\10581.jpg,No entry,No entry,0.7517676,True
workspace/training_demo/merged_images/test\10602.jpg,No entry,No entry,0.8099483,True
workspace/training_demo/merged_images/test\10614.jpg,No entry,No entry,0.8238489,True
workspace/training_demo/merged_images/test\10622.jpg,No entry,No entry,0.8696051,True
workspace/training_demo/merged_images/test\10632.jpg,No entry,No entry,0.56887,True
workspace/training_demo/merged_images/test\10643.jpg,No entry,No entry,0.6177434,True
workspace/training_demo/merged_images/test\10756.jpg,No entry,No entry,0.5943616,True
workspace/training_demo/merged_images/test\10821.jpg,No entry,No entry,0.8867396,True
workspace/training_demo/merged_images/test\10847.jpg,No entry,No entry,0.7303001,True
workspace/training_demo/merged_images/test\10894.jpg,No entry,Turn left ahead,0.3065859,False
workspace/training_demo/merged_images/test\10903.jpg,No entry,No entry,0.69671994,True
workspace/training_demo/merged_images/test\10905.jpg,No entry,Keep right,0.46865928,False
workspace/training_demo/merged_images/test\10924.jpg,No entry,No entry,0.63754606,True
workspace/training_demo/merged_images/test\10950.jpg,No entry,No entry,0.60301703,True
workspace/training_demo/merged_images/test\10952.jpg,No entry,No entry,0.7096266,True
workspace/training_demo/merged_images/test\10977.jpg,No entry,Keep right,0.3862066,False
workspace/training_demo/merged_images/test\10989.jpg,No entry,Keep right,0.34506842,False
workspace/training_demo/merged_images/test\10996.jpg,No entry,No entry,0.5677428,True
workspace/training_demo/merged_images/test\11008.jpg,No entry,No entry,0.64392966,True
workspace/training_demo/merged_images/test\11025.jpg,No entry,No entry,0.6048165,True
workspace/training_demo/merged_images/test\11083.jpg,No entry,No entry,0.88269705,True
workspace/training_demo/merged_images/test\11139.jpg,No entry,No entry,0.5808804,True
workspace/training_demo/merged_images/test\11149.jpg,No entry,No entry,0.5501496,True
workspace/training_demo/merged_images/test\11152.jpg,No entry,No entry,0.43376055,True
workspace/training_demo/merged_images/test\11158.jpg,No entry,No entry,0.6059334,True
workspace/training_demo/merged_images/test\11195.jpg,No entry,No entry,0.82651156,True
workspace/training_demo/merged_images/test\11219.jpg,No entry,No entry,0.59486365,True
workspace/training_demo/merged_images/test\11235.jpg,No entry,No entry,0.6809791,True
workspace/training_demo/merged_images/test\11237.jpg,No entry,No entry,0.4893325,True
workspace/training_demo/merged_images/test\11252.jpg,No entry,No entry,0.81699735,True
workspace/training_demo/merged_images/test\11256.jpg,No entry,No entry,0.7900306,True
workspace/training_demo/merged_images/test\11281.jpg,No entry,No entry,0.71148026,True
workspace/training_demo/merged_images/test\11314.jpg,No entry,No entry,0.53278005,True
workspace/training_demo/merged_images/test\11367.jpg,No entry,No entry,0.5417786,True
workspace/training_demo/merged_images/test\11521.jpg,No entry,No entry,0.65376866,True
workspace/training_demo/merged_images/test\11554.jpg,No entry,No entry,0.7351279,True
workspace/training_demo/merged_images/test\11567.jpg,No entry,No entry,0.7570235,True
workspace/training_demo/merged_images/test\11612.jpg,No entry,No entry,0.68660283,True
workspace/training_demo/merged_images/test\11686.jpg,No entry,No entry,0.67456716,True
workspace/training_demo/merged_images/test\11730.jpg,No entry,No entry,0.39107,True
workspace/training_demo/merged_images/test\11782.jpg,No entry,No entry,0.8002126,True
workspace/training_demo/merged_images/test\11796.jpg,No entry,No entry,0.5798467,True
workspace/training_demo/merged_images/test\11824.jpg,No entry,No entry,0.72377235,True
workspace/training_demo/merged_images/test\11850.jpg,No entry,No entry,0.6704608,True
workspace/training_demo/merged_images/test\11927.jpg,No entry,No entry,0.574261,True
workspace/training_demo/merged_images/test\11932.jpg,No entry,No entry,0.7546062,True
workspace/training_demo/merged_images/test\11979.jpg,No entry,No entry,0.8193122,True
workspace/training_demo/merged_images/test\11996.jpg,No entry,No entry,0.79653203,True
workspace/training_demo/merged_images/test\12035.jpg,No entry,No entry,0.87755793,True
workspace/training_demo/merged_images/test\12072.jpg,No entry,No entry,0.73103553,True
workspace/training_demo/merged_images/test\12165.jpg,No entry,No entry,0.442845,True
workspace/training_demo/merged_images/test\12179.jpg,No entry,No entry,0.7085438,True
workspace/training_demo/merged_images/test\12190.jpg,No entry,No entry,0.6346088,True
